编号,签订时间,名称,签订对象
1,1689-9-7,尼布楚界约,俄国
2,1727-9-1,布连斯奇界约,俄国
3,1727-10-21,恰克图界约,俄国
4,1727-10-24,阿巴哈依图界约,俄国
5,1727-11-8,色楞额界约,俄国
6,1768-10-30,修改恰克图界约第十条,俄国
7,1792-2-20,恰克图市约,俄国
8,1842-8-29,江宁条约（南京条约）,英国
9,1843-6-26,过境税声明,英国
10,1843-10-8,五口通商附粘善后条款,英国
11,1843-10-8,五口通商章程：海关税则,英国
12,1844-7-3,五口贸易章程：海关税则,美国
13,1844-10-24,五口贸易章程：海关税则,法国
14,1845-11-29,上海租地章程,英国
15,1846-4-4,英军退还舟山条约,英国
16,1847-3-20,五口通商章程：海关税则,瑞典、挪威
17,1851-8-6,伊犁塔尔巴哈台通商章程,俄国
18,1854-7-5,上海英法美租界租地章程,各国
19,1856-3-24,藏尼条约,尼泊尔
20,1858-5-28,瑷珲城和约,俄国
21,1858-6-13,天津条约,俄国
22,1858-6-18,天津条约,美国
23,1858-6-26,天津条约,英国
24,1858-6-27,天津条约,法国
25,1858-6-27,和约章程补遗,法国
26,1858-10-16,塔尔巴哈台议定赔偿条约,俄国
27,1858-11-8,通商章程善后条约：海关税则,英国
28,1858-11-24,通商章程善后条约：海关税则,法国
29,1858-11-8,通商章程善后条约：海关税则,美国
30,1858-11-8,赔偿美商民损失专约,美国
31,1859-4-1,黑龙江通商条规,俄国
32,1860-10-24,续增条约（北京条约）,英国
33,1860-10-25,续增条约（北京条约）,法国
34,1860-11-14,北京续增条约,俄国
35,1861-3-25,长江各口通商暂订章程,英国
36,1861-3-25,九江租地约,英国
37,1861-6-2,天津紫竹林法国租地条款,法国
38,1861-6-28,勘分东界约记,俄国
39,1861-9-2,通商条约,德国
40,1861-9-2,通商章程善后条约：海关税则,德国
41,1861-10-9,长江各口通商暂行章程,各国
42,1861-10-9,通商各口通共章程,各国
43,1862-3-4,陆路通商章程：续增税则,俄国
44,1862-3-4,陆路章程详细办法,俄国
45,1862-8-13,和好贸易条约,葡萄牙
46,1862-11-20,长江收税章程,各国
47,1863-7-13,天津条约,丹麦
48,1863-7-13,通商章程：海关税则,丹麦
49,1863-8-26,通商条约,比利时
50,1863-10-6,天津条约,荷兰
51,1864-3-8,陆路俄商三联单章程,俄国
52,1864-10-7,勘分西北界约记,俄国
53,1864-10-10,和好贸易条约,西班牙
54,1865-2-20,法国教堂入内地买地照会,法国
55,1865-9-1,更定法国商船完纳船钞章程,法国
56,1865-10-27,上海海关扣留案件条款,英国
57,1865-11-2,通商条约,比利时
58,1865-11-2,通商章程：海关税则,比利时
59,1866-2-8,出口土货拆动改装章程,各国
60,1866-3-5,续定招工章程条约,英法
61,1866-10-26,通商条约,意大利
62,1866-10-26,通商章程：海关税则,意大利
63,1867-4-27,客船行李免税货物拖带轮船三项章程,各国
64,1868-5-31,会讯船货入官章程,各国
65,1868-7-28,续增条约,美国
66,1868-9-2,漏报捏报罚办声明,德国
67,1868-11-3,各海口引水总章,各国
68,1868-11-16,茶末减税章程,各国
69,1868-12-28,上海洋泾浜设官会审章程,各国
70,1869-4-27,改订陆路通商章程,俄国
71,1869-5-12,钟表减税并严防偷漏章程,各国
72,1869-8-13,科布多界约,俄国
73,1869-9-2,通商条约,奥地利
74,1869-9-2,通商章程：海关税则,奥地利
75,1869-9-4,乌里雅苏台界约,俄国
76,1869-9-24,上海洋泾浜北首租界章程,各国
77,1869-10-23,新定条约,英国
78,1869-10-23,新修条约善后章程：新修税则,英国
79,1869-1-1,酬赏失事洋船章程,英国
80,1870-8-12,塔尔巴哈台界约,俄国
81,1870-1-1,洋商躲避收口船钞分别征免章程,各国
82,1871-9-13,修好条规,日本
83,1871-9-13,通商章程：海关税则,日本
84,1873-5-1,吨数章程,西班牙
85,1873-10-22,古巴华工条款,西班牙
86,1874-6-26,会议专条,秘鲁
87,1874-6-26,通商条约,秘鲁
88,1874-10-31,北京专条,日本
89,1874-1-1,轮船往来港澳章程,英国
90,1876-9-13,烟台条约,英国
91,1876-10-24,收买吴淞铁路条款,英国
92,1877-11-17,会订古巴华工条款,西班牙
93,1879-2-1,檀香山商董与官员酌议事宜,夏威夷
94,1879-10-2,伊犁条约,俄国
95,1879-10-2,陆路通商章程,俄国
96,1880-1-8,内港江河行船免碰及救护专章,各国
97,1880-3-31,续修条约,德国
98,1880-3-31,续修条约善后章程,德国
99,1880-11-13,中外往来仪式节略,各国
100,1880-11-17,续修条约,美国
101,1880-11-17,续约附款,美国
102,1881-2-24,改订条约,俄国
103,1881-2-24,改订陆路通商章程,俄国
104,1881-2-26,彼此收递电报办法合同,丹麦
105,1881-8-1,德商船厂修船免税新章,德国
106,1881-10-3,和好通商条约,巴西
107,1882-4-19,议定天津码头捐节略,各国
108,1882-7-5,粤海关洋货三联单试办章程,德国
109,1882-7-5,粤海关洋货税单试办章程,德国
110,1882-10-1,商民水陆贸易章程,朝鲜
111,1882-10-29,伊犁界约,俄国
112,1882-12-7,喀什噶尔界约,俄国
113,1882-1-1,各项船钞分别征免章程,各国
114,1883-3-31,上海至香港电报办法合同,英国
115,1883-3-1,奉天与朝鲜边民交易章程,朝鲜
116,1883-4-4,议定俄属商人贸易地址条约,俄国
117,1883-4-4,议定两属缠头商民事宜条约,俄国
118,1883-5-7,续订上海香港电报章程,英国
119,1883-5-7,九龙香港陆路接线合同,英国
120,1883-5-19,收售上海吴淞旱线合同,丹麦
121,1883-8-12,科塔界约,俄国
122,1883-9-4,科布多新界牌鄂博记,俄国
123,1883-9-13,塔尔巴哈台北段牌鄂博记,俄国
124,1883-9-1,吉林朝鲜商民贸易地方章程,朝鲜
125,1883-10-3,塔尔巴哈台西南界约,俄国
126,1883-11-19,原议福州电线合同,英国
127,1884-5-11,中法简明条款,法国
128,1884-6-3,续勘喀什噶尔界约,俄国
129,1884-10-17,福州电线合同,英国
130,1884-12-1,塔城哈萨克归附条约,俄国
131,1885-4-4,停战条件,法国
132,1885-4-18,天津会议专条,日本
133,1885-6-9,越南条款,法国
134,1885-7-17,代办朝鲜陆路电线合同,朝鲜
135,1885-7-18,烟台条约续增专条,英国
136,1886-3-25,桂越边界勘界节录,法国
137,1886-4-25,越南边界通商章程,法国
138,1886-5-29,移让北堂改建合同,法国
139,1886-7-24,缅甸条款,英国
140,1886-8-1,勘界办法节录,法国
141,1886-9-11,香港鸦片贸易协定,英国
142,1886-10-12,珲春东界约,俄国
143,1886-10-19,滇越边界勘界节略,法国
144,1886-1-1,釜山电线条约,朝鲜
145,1887-3-26,会议草约,葡萄牙
146,1887-3-29,粤越边界勘界节录,法国
147,1887-6-23,续议商务专条来往照会,法国
148,1887-6-26,续议界务专条,法国
149,1887-6-26,续议商务专条,法国
150,1887-7-7,会订电报根本合同,英丹
151,1887-8-10,电报齐价摊分详细合同,英丹
152,1887-12-1,和好通商条约,葡萄牙
153,1887-12-1,会议专约,葡萄牙
154,1887-12-1,洋药征收税厘善后条款,葡萄牙
155,1888-3-13,限禁华工条约,美国
156,1888-5-1,中德人民互相嫁娶章程,德国
157,1888-9-29,意国教士护照来往照会,意大利
158,1888-11-26,德国教士护照来往照会,德国
159,1888-12-1,滇越边界联接电线章程,法国
160,1901/9/7,辛丑各国和约,各国
161,1861-11-10,镇江英国租界章程,英国
162,1861-11-20,汉口英国租界章程,英国
163,1862-5-1,上海法租界管理章程,法国
164,1863-1-15,九江英国租地章程,英国
165,1864-5-13,江汉关征税通则,各国
166,1865-3-3,粤海关管理通商章程,各国
167,1866-4-10,天津英法美租界扩展协议,各国
168,1866-8-20,厦门海关验货章程,各国
169,1867-2-15,福州船政局聘雇洋员合同,法国
170,1868-5-12,中美天津条约续增条款（蒲安臣条约）,美国
171,1868-9-1,中英修约草案（阿礼国协定）,英国
172,1869-3-20,琼州海关开关章程,各国
173,1870-6-24,天津教案赔偿恤银专约,法国
174,1870-10-15,大沽口炮台交还协议,英法
175,1871-6-1,中俄陆路电线连接条约,俄国
176,1871-8-20,闽海关茶税征收细则,各国
177,1872-3-15,上海公共租界工部局巡捕章程,各国
178,1873-4-10,日本遣使来华交涉台湾事件换文,日本
179,1874-5-20,台湾牡丹社事件赔款条约,日本
180,1874-12-1,福州至厦门电报线铺设合同,大北电报公司
181,1875-3-10,马嘉理事件善后交涉照会,英国
182,1876-2-20,中日朝鲜江华条约事宜照会,日本
183,1876-10-1,烟台条约附件：宜昌开埠章程,英国
184,1877-3-5,芜湖海关开关章程,英国
185,1877-6-15,温州开埠及海关税务细则,英国
186,1878-4-10,中法越南交涉前期换文,法国
187,1878-9-20,北洋机器局购买洋枪合同,德国
188,1879-5-15,中俄交收伊犁界务草约（里瓦几亚条约）,俄国
189,1880-2-10,中美限禁华工续约条款,美国
190,1880-6-20,中德条约附件：船只免税及领事管辖,德国
191,1881-3-15,伊犁条约附件：特克斯河勘界记,俄国
192,1881-8-20,开平矿务局雇请洋矿师合同,英国
193,1882-5-22,中美华工条约执行细则,美国
194,1882-9-1,中朝商民水陆贸易章程附件,朝鲜
195,1883-2-15,中法天津协定（李布协定）,法国
196,1883-8-25,顺化条约相关交涉照会,法国
197,1884-2-10,中俄西北边界勘界鄂博记,俄国
198,1884-5-11,中法简明条约附件：谅山撤兵条款,法国
199,1884-12-20,中日朝鲜事变会议专条（甲申政变）,日本
200,1885-3-15,中法停战条件细节换文,法国
201,1885-6-9,中法新约附件：边界通商及铁路条款,法国
202,1885-10-20,中英洋药（鸦片）厘金征收专条,英国
203,1886-4-15,中越边界勘界第一段界碑记,法国
204,1886-5-10,中英缅甸条约附件：滇缅通商草案,英国
205,1886-8-20,中法越南边界通商章程续约,法国
206,1887-2-10,澳门地位及界务交涉草案,葡萄牙
207,1887-5-15,北洋海军向英德订购舰艇合同,英德
208,1887-9-20,中法界务专条附件：东段界桩记,法国
209,1888-4-15,中美关于华工被华限制赔偿照会,美国
210,1888-10-10,藏印边界交涉前期换文,英国
211,1889-3-20,中法滇越边界勘界最终议定书,法国
212,1889-8-15,中俄伊犁西南边界勘界记,俄国
213,1890-3-17,中英藏印条约附件：亚东开埠条款,英国
214,1890-6-10,中俄松花江航行通商章程,俄国
215,1891-5-20,长江流域教案赔偿及保护教士专条,各国
216,1891-9-15,中法广东越南第一段勘界记,法国
217,1892-4-10,中英滇缅边界北段勘界照会,英国
218,1892-10-20,中德胶州湾勘测水道换文,德国
219,1893-3-15,中英藏印通商章程及关税细则,英国
220,1893-8-20,中俄帕米尔交涉防营驻扎换文,俄国
221,1894-2-10,中英滇缅边界商务新约,英国
222,1894-6-15,中法广东越南第二段勘界记,法国
223,1894-8-1,中日甲午战争交涉破裂及撤使照会,日本
224,1894-11-20,上海公共租界界外筑路协议,各国
225,1895-3-30,中日停战条约附件：奉天驻军界线,日本
226,1895-4-17,马关条约附件一：赔款交付细则,日本
227,1895-4-17,马关条约附件二：台湾交接专条,日本
228,1895-5-20,俄法德干涉还辽交涉照会,俄法德
229,1895-7-6,中俄四厘借款合同附件：银行担保书,俄国
230,1895-11-8,中日辽南条约附件：撤兵及交接细则,日本
231,1895-12-20,中英平息教案及增开通商口岸换文,英国
232,1896-3-23,中英德洋款借款合同及税关抵押条款,英德
233,1896-5-15,中法续议商务专条附章：西南铁路权,法国
234,1896-6-3,中俄密约（防御同盟条约）附件,俄国
235,1896-9-8,中俄合办东清铁路公司合同,俄国
236,1896-10-15,中日通商行船条约附件：领事裁判权,日本
237,1897-2-4,中英续议缅甸条约附款：野人山勘界,英国
238,1897-4-10,芦汉铁路借款合同附件：比国公司承建条款,比利时
239,1897-6-12,中法滇越界约附件：老街至蒙自铁路线,法国
240,1897-9-15,中俄东清铁路沿线购地及驻警章程,俄国
241,1897-11-20,德国占领胶州湾交涉赔偿照会,德国
242,1898-3-6,中德胶澳租界条约附件：山东路矿权,德国
243,1898-3-27,中俄旅大租地条约附件：旅顺驻军权,俄国
244,1898-4-10,中法广州湾租界交涉照会,法国
245,1898-4-14,美商合兴公司粤汉铁路借款草合同,美国
246,1898-5-7,中俄续订旅大租地条约：界线及中立区,俄国
247,1898-6-9,中英展拓香港界址专条附件：九龙城管辖,英国
248,1898-6-26,芦汉铁路比国借款详细合同及行车合同,比利时
249,1898-7-1,中英订租威海卫专条附件：水师停泊权,英国
250,1898-8-22,德国胶澳租地合同边界定标记,德国
251,1898-9-15,津镇铁路借款及承造草合同,英德
252,1898-10-10,中英关内外铁路（京奉铁路）借款合同,英国
253,1898-11-20,中日福建省不割让换文,日本
254,1899-2-26,中俄勘分旅大租界专条定界碑记,俄国
255,1899-4-17,德国青岛设关征税办法及自由港章程,德国
256,1899-4-28,中日福州口专管租界条款,日本
257,1899-5-18,中英德津镇铁路草合同附件,英德
258,1899-6-10,中美关于“门户开放”政策交涉照会,美国
259,1899-9-11,中朝通商条约及海关税则,朝鲜
260,1899-10-25,中日厦门专管租界条款,日本
261,1899-11-16,中法广州湾租界条约附件：界线及驻军,法国
262,1899-12-14,中墨通商条约及保护华侨专款,墨西哥
263,1900/1/15,上海公共租界扩展界址协定,各国
264,1900/2/20,中法互寄邮件暂行章程及运费细则,法国
265,1900/3/21,中德山东胶济铁路章程及矿务公司合同,德国
266,1900/5/10,八国联军入京前期交涉照会,各国
267,1900/6/15,大沽炮台交战及照会,各国
268,1900/7/13,中美粤汉铁路借款续约及修改条款,美国
269,1900/7/30,中英出卖开平矿务局合同（欺诈案原件）,英国
270,1900/8/20,东南互保章程及相关照会,各国
271,1900/9/15,俄军强占东三省及黑龙江交涉照会,俄国
272,1900/10/26,中英丹沪沽水线合同及京津旱线借款,英丹
273,1900/11/8,中俄奉天交地暂且章程（阿列克谢耶夫协定）,俄国
274,1900/12/22,辛丑议和大纲十二条换文,各国
275,1900/12/30,俄国天津租界条款及划界图,俄国
276,1901/1/15,中俄交收东三省密约（未遂稿）,俄国
277,1901/2/19,中英移交开平矿务局合同及副约,英国
278,1901/3/15,中俄吉林开办金矿条约,俄国
279,1901/4/10,比利时天津租界划界条款,比利时
280,1901/5/30,北京各国使馆界址专章及四至界碑图,各国
281,1901/5/31,中英香港新界水面及岛屿划界照会,英国
282,1901/6/15,中日天津租界扩展及管理章程,日本
283,1901/7/14,中俄改订吉林开采煤矿合同,俄国
284,1901/7/18,中俄修改吉林铁路交涉总局章程,俄国
285,1901/7/23,中俄黑龙江省采勘矿苗草约,俄国
286,1901/8/1,辛丑和约附件一：光绪帝惩办祸首上谕,各国
287,1901/8/2,辛丑和约附件二：停止科举及惩处地方官上谕,各国
288,1901/8/3,辛丑和约附件三：那桐赴日道歉专使照会,日本
289,1901/8/4,辛丑和约附件四：醇亲王赴德道歉换文,德国
290,1901/8/5,辛丑和约附件五：大沽炮台拆除清单,各国
291,1901/8/6,辛丑和约附件六：各国驻军要塞地点清单,各国
292,1901/8/7,辛丑和约附件七：北京使馆区管理及驻军章程,各国
293,1901/8/8,辛丑和约附件八：改总理衙门为外务部照会,各国
294,1901/8/9,辛丑和约附件九：赔款四亿五千万两摊派细则,各国
295,1901/8/10,辛丑和约附件十：海关常关盐政抵押条款,各国
296,1901/8/11,辛丑和约附件十一：还本付息时间表,各国
297,1901/8/12,辛丑和约附件十二：修改通商行船条约声明,各国
298,1901/8/13,辛丑和约附件十三：浚浦局设立及疏浚黄浦江章程,各国
299,1901/8/14,辛丑和约附件十四：海河工程局管理章程,各国
300,1901/8/15,辛丑和约附件十五：禁止军火进口两年上谕,各国
301,1901/8/16,辛丑和约附件十六：各国公使觐见礼节草案,各国
302,1901/8/17,辛丑和约附件十七：外务部班次优先于六部上谕,各国
303,1901/8/18,辛丑和约附件十八：地方官保护外人责任上谕,各国
304,1901/8/19,辛丑和约附件十九：各省设立通商公所章程,各国
305,1901/8/20,辛丑和约附件二十：教案善后及恤银赔付清单,各国
306,1901/8/21,辛丑和约附件二十一：各省教案惩凶名单,各国
307,1901/8/22,奥匈帝国天津租界划界章程,奥匈帝国
308,1901/8/25,意大利天津租界划界及管理章程,意大利
309,1901/8/28,中英西藏及锡金边界通商筹备换文,英国
310,1901/8/30,中美关于退还部分庚子赔款先期探讨照会,美国
311,1901/9/1,大清银行与汇丰等外商银行庚款支付合同,各国
312,1901/9/5,中俄交收满洲交涉第一次会议照会,俄国
313,1901/9/6,辛丑和约签署前夕中外全权代表换文,各国
314,1901/9/24,重庆日本商民专管租界约书,日本
315,1901/10/11,安徽宣城煤矿公司合同,日本
316,1901/11/29,滇缅铁路彼此相接来往照会,英国
317,1901/1/1,厦门鼓浪屿公地章程,各国
318,1901/1/1,南京租界租地章程,各国
319,1901/1/1,招工合同,法国
320,1902/1/10,厦门鼓浪屿续订公地章程,各国
321,1902/1/10,厦门鼓浪屿租界中田地章程,各国
322,1902/1/14,黑龙江省铁路交涉总局章程,俄国
323,1902/1/14,黑龙江开挖煤矿合同,俄国
324,1902/1/1,俄人租拉哈苏苏荒地草约,俄国
325,1902/2/4,华俄合办新旧矿务章程,俄国
326,1902/2/6,天津比国租界合同,比利时
327,1902/3/1,直隶顺德内邱临城矿务合同,比利时
328,1902/4/8,交收东三省条约,俄国
329,1902/4/20,奉天省铁路交涉总局章程,俄国
330,1902/4/29,交还关内外铁路章程,英国
331,1902/4/29,关内外路交还以后章程,英国
332,1902/4/29,山海关至北京铁路上军事运输章程,英国
333,1902/6/10,上海租界权限章程,各国
334,1902/6/21,云南隆兴公司承办七属矿务章程,法英
335,1902/7/11,东省铁路公司接修吉长铁路合同,俄国
336,1902/7/18,交还天津来往照会,各国
337,1902/8/3,芜湖租界租地章程,英国
338,1902/8/7,江西萍乡煤矿商借礼和洋款合同,德国
339,1902/8/7,江西萍乡煤矿德借礼和洋款合同,德国
340,1902/8/29,续修增改各国通商进口税则善后章程,各国
341,1902/9/5,续议通商行船条约,英国
342,1902/9/22,交还关外路条约,俄国
343,1902/9/29,巴县油矿章程,法国
344,1902/10/15,正太铁路借款详细合同,俄国
345,1902/10/15,正太铁路行车详细合同,俄国
346,1902/10/15,增改条款,葡萄牙
347,1902/10/15,关于广澳铁路来往照会,葡萄牙
348,1902/10/22,修订沽津京旱线合同,丹麦
349,1902/10/22,福建建邵汀属矿务章程,法国
350,1902/10/22,北京大沽借线合同,英国
351,1902/10/23,川石山至南台借线合同,英国
352,1902/11/27,续订接线展限合同,俄国
353,1902/11/1,汉口展拓法租界条款,法国
354,1902/1/1,广东教务章程,美法
355,1902/1/1,各国水师雇用华船报关查验章程,各国
356,1902/1/1,天津意国租界章程合同,意大利
357,1903/1/27,分设关卡章程条款,葡萄牙
358,1903/3/1,安徽矿务简明合同,英国
359,1903/4/24,天津日本租界推广条约,日本
360,1903/5/18,代寄邮件暂行章程,日本
361,1903/5/18,互相传寄总包运费合同,日本
362,1903/5/18,代寄包裹暂行章程,日本
363,1903/6/1,天津奥国租界章程合同,奥地利
364,1903/7/5,勘矿合同,意大利
365,1903/7/9,沪宁铁路借款合同,英国
366,1903/10/8,通商行船续订条约,美国
367,1903/10/8,通商行船续约,日本
368,1903/10/27,中国及英属印度邮政局互订代寄邮件暂行章程,英国
369,1903/10/29,滇越铁路章程,法国
370,1903/11/12,汴洛铁路借款合同,比利时
371,1903/11/12,汴洛路行车合同,比利时
372,1903/1/1,大东大北公司联合美线办法章程,英丹
373,1903/1/1,比商世昌洋行在津创办电车电灯公司章程,比利时
374,1904/1/15,大冶购运矿石预借矿价正合同,日本
375,1904/3/6,黑龙江省东省铁路公司订立伐木原合同,俄国
376,1904/4/17,青岛设关征税办法续立附件,德国
377,1904/5/13,保工章程,英国
378,1904/6/5,安徽铜陵县矿改定合同章程,英国
379,1904/10/21,互寄包裹暂行章程,法国
380,1904/11/11,通商条约,葡萄牙
381,1904/11/11,办理新约第三款合订章程,葡萄牙
382,1904/11/11,广澳路合同,葡萄牙
383,1904/12/29,互寄邮件暂行章程,英国
384,1904/1/1,长沙租界租地章程,各国
385,1904/1/1,山草地坡等处议订租地条款,英国
386,1904/1/1,太平洋商业公司登岸接线合同,美国
387,1904/1/1,广州口船只停泊起下货物章程,各国
388,1904/1/1,新定划界防边条约,朝鲜
389,1905/1/15,接线议定减价条款,俄国
390,1905/1/20,小清河叉路合同,德国
391,1905/2/1,续增上海洋泾浜设官会审章程,各国
392,1905/3/22,临城矿务借款合同,比利时
393,1905/4/5,续订联合齐价摊分合同,英丹
394,1905/5/23,续订滇缅电线约款,英国
395,1905/7/2,付还赔款办法来往照会,各国
